AttackID,AttackType,AttackDate,TargetSystem,AttackVector,Severity,AttackerIP,VictimIP,Status
1,Malware,2022-02-15,CorporateServer,Email,High,192.168.1.100,10.0.0.1,Resolved
2,Phishing,2022-02-20,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.2,In Progress
3,,,,,,104.27.138.153,10.0.0.3,Open
4,Ransomware,2022-03-05,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.4,Resolved
5,,2022-03-10,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.5,Open
6,Phishing,2022-03-12,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.6,Open
7,Malware,2022-03-15,CorporateServer,Email,High,192.168.1.101,10.0.0.7,Resolved
8,,2022-03-20,WebServer,Network,Critical,104.27.138.153,10.0.0.8,In Progress
9,Ransomware,2022-03-25,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.9,Open
10,SQL Injection,2022-03-28,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.10,Resolved
11,Malware,2022-04-02,CorporateServer,Email,High,192.168.1.102,10.0.0.11,Open
12,Phishing,2022-04-05,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,,Resolved
13,Distributed Denial of Service (DDoS),2022-04-10,WebServer,Network,,,10.0.0.13,Open
14,,2022-04-15,DatabaseServer,,High,185.174.171.4,10.0.0.14,In Progress
15,SQL Injection,,,Code Injection,Critical,192.0.2.55,10.0.0.15,Resolved
16,Phishing,2022-04-20,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.16,Open
17,Malware,2022-04-25,CorporateServer,Email,High,192.168.1.103,10.0.0.17,Resolved
18,Distributed Denial of Service (DDoS),2022-04-28,WebServer,Network,Critical,104.27.138.153,10.0.0.18,In Progress
19,Ransomware,2022-05-02,DatabaseServer,Malicious Link,High,185.174.171.4,,Resolved
20,SQL Injection,2022-05-05,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.20,Open
21,Malware,2022-05-10,CorporateServer,Email,High,192.168.1.104,10.0.0.21,Resolved
22,Phishing,2022-05-15,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.22,Open
23,Distributed Denial of Service (DDoS),2022-05-18,WebServer,Network,Critical,104.27.138.153,10.0.0.23,Resolved
24,Ransomware,2022-05-22,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.24,In Progress
25,SQL Injection,2022-05-25,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.25,Resolved
26,Phishing,2022-05-28,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.26,Open
27,Malware,2022-06-02,CorporateServer,Email,High,192.168.1.105,10.0.0.27,Resolved
28,Distributed Denial of Service (DDoS),2022-06-05,WebServer,Network,Critical,104.27.138.153,10.0.0.28,In Progress
29,Ransomware,2022-06-10,DatabaseServer,Malicious Link,High,185.174.171.4,,Open
30,SQL Injection,2022-06-15,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.30,Resolved
31,Malware,,,Email,High,192.168.1.106,10.0.0.31,Open
32,,2022-06-22,EmployeeWorkstation,Social Engineering,,203.0.113.42,10.0.0.32,Resolved
33,Distributed Denial of Service (DDoS),2022-06-25,WebServer,Network,Critical,104.27.138.153,10.0.0.33,Open
